workload,input_tokens_target,output_tokens_target,frequency_mhz,slo_s,duration_s,ttft_s,tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,tpj,input_tokens_actual,output_tokens_actual,slo_met_rate
LS,1024,64,800,8.0,2.4434666666666667,0.5156000000000001,0.030307666666666667,90.38,110.13666666666666,222.69856666666666,445.6766666666667,0.2045,4.890029,1025.0,64.0,1.0
LS,1024,64,850,8.0,2.3385000000000002,0.4839,0.028989666666666664,92.57000000000001,112.89,218.39523333333332,465.68333333333334,0.20056666666666667,4.986376,1025.0,64.0,1.0
LS,1024,64,900,8.0,2.1904333333333335,0.4597,0.027154666666666664,96.94666666666667,118.39999999999999,214.35906666666665,497.17,0.19686666666666666,5.0802613333333335,1025.0,64.0,1.0
LS,1024,64,950,8.0,2.1076,0.43533333333333335,0.026385333333333334,99.59333333333332,125.47666666666667,211.9890333333333,516.6966666666667,0.19466666666666665,5.137107666666666,1025.0,64.0,1.0
LS,1024,64,1000,8.0,2.0619333333333336,0.41016666666666673,0.025899000000000002,104.52333333333333,131.57333333333335,217.66826666666668,528.16,0.1999,5.003104666666666,1025.0,64.0,1.0
LS,1024,64,1050,8.0,2.0213666666666668,0.39409999999999995,0.025601666666666665,108.17666666666666,139.76666666666668,220.91026666666667,538.7433333333333,0.20286666666666667,4.929608,1025.0,64.0,1.0
LS,1024,64,1100,8.0,1.9809333333333334,0.37873333333333337,0.025180333333333332,114.24000000000001,152.54999999999998,228.6849,549.7366666666667,0.21,4.762019333333334,1025.0,64.0,1.0
LS,1024,64,1150,8.0,1.9354333333333333,0.36036666666666667,0.024796333333333333,122.39,169.75333333333333,239.37253333333334,562.67,0.21983333333333333,4.549402,1025.0,64.0,1.0
LS,1024,64,1200,8.0,1.9138000000000002,0.3477333333333333,0.024458666666666667,126.98666666666666,178.72666666666666,245.65443333333334,569.02,0.2255666666666667,4.4330869999999996,1025.0,64.0,1.0
LS,1024,64,1250,8.0,1.8756666666666666,0.3357666666666667,0.024177666666666667,135.96,195.82000000000002,257.80086666666665,580.59,0.23673333333333332,4.224199666666667,1025.0,64.0,1.0
LS,1024,64,1300,8.0,1.853,0.3223333333333333,0.023964333333333334,147.99666666666667,214.00666666666666,277.29993333333334,587.6899999999999,0.2546333333333333,3.9273633333333335,1025.0,64.0,1.0
SL,64,512,750,8.0,16.907166666666665,0.10466666666666667,0.03284033333333333,86.05,96.43,1456.5998,34.126666666666665,2.5244666666666666,0.396129,65.0,512.0,0.0
SL,64,512,800,8.0,14.978066666666669,0.09886666666666666,0.029071,91.25666666666666,97.40333333333335,1368.6983666666667,38.52333333333333,2.3721,0.4215696666666666,65.0,512.0,0.0
SL,64,512,850,8.0,14.3362,0.09303333333333334,0.027837333333333335,94.16666666666667,103.16666666666667,1351.9347666666665,40.24666666666667,2.343033333333333,0.42679599999999995,65.0,512.0,0.0
SL,64,512,900,8.0,13.419066666666666,0.08816666666666667,0.026068333333333332,97.61333333333334,105.76333333333332,1311.8820666666668,43.0,2.273633333333333,0.439827,65.0,512.0,0.0
SL,64,512,950,8.0,13.0653,0.08383333333333333,0.025369000000000003,99.83999999999999,110.06333333333333,1306.5132999999998,44.163333333333334,2.2643333333333335,0.4416343333333333,65.0,512.0,0.0
SL,64,512,1000,8.0,12.844666666666667,0.07906666666666667,0.024948666666666664,103.94666666666667,118.72666666666667,1337.2918666666667,44.919999999999995,2.3176666666666663,0.4314693333333333,65.0,512.0,0.0
SL,64,512,1050,8.0,12.755333333333333,0.07616666666666666,0.024788666666666667,106.10333333333334,125.01333333333334,1355.5593333333334,45.23666666666667,2.3493666666666666,0.42565533333333333,65.0,512.0,0.0
SL,64,512,1100,8.0,12.732933333333333,0.0731,0.024743,110.91333333333334,135.78,1414.4696333333334,45.31666666666666,2.4514333333333336,0.4079273333333333,65.0,512.0,0.0
SL,64,512,1150,8.0,12.6518,0.06973333333333333,0.024588666666666665,116.82666666666667,148.82666666666668,1480.4001666666666,45.60999999999999,2.5657,0.38976133333333335,65.0,512.0,0.0
SL,64,512,1200,8.0,12.674433333333333,0.06743333333333333,0.024637000000000003,119.84666666666668,157.48666666666668,1521.4675333333332,45.52333333333333,2.6368666666666667,0.3792396666666667,65.0,512.0,0.0
SL,64,512,1250,8.0,12.6096,0.06496666666666667,0.024519666666666665,125.75333333333333,170.84666666666666,1588.2677999999999,45.76,2.7526333333333333,0.36328933333333335,65.0,512.0,0.0
SL,64,512,1300,8.0,12.554533333333334,0.062266666666666665,0.024417666666666667,132.62,181.43666666666664,1667.5877,45.96,2.8901,0.3460113333333334,65.0,512.0,0.0
SS,64,64,750,8.0,2.1285666666666665,0.10459999999999998,0.031898,85.82333333333334,95.29333333333334,184.44359999999998,60.60333333333333,1.4297666666666666,0.6994016666666667,65.0,64.0,1.0
SS,64,64,800,8.0,1.8965666666666667,0.09883333333333333,0.02817,91.05,97.72666666666667,174.5486,68.02,1.3530666666666669,0.739052,65.0,64.0,1.0
SS,64,64,850,8.0,1.8142333333333334,0.0931,0.026974666666666664,93.89999999999999,102.19666666666666,172.2831,71.10333333333334,1.3355333333333332,0.7487683333333334,65.0,64.0,1.0
SS,64,64,900,8.0,1.6872,0.08856666666666667,0.025266333333333335,97.17,105.09666666666668,165.9475666666667,76.46,1.2864,0.7773563333333332,65.0,64.0,1.0
SS,64,64,950,8.0,1.643,0.08423333333333334,0.024591000000000002,99.48,108.42,165.48773333333335,78.51666666666667,1.2828333333333333,0.7795156666666667,65.0,64.0,1.0
SS,64,64,1000,8.0,1.6214000000000002,0.0791,0.02420833333333333,103.69,118.39999999999999,170.27110000000002,79.56,1.3199333333333334,0.7576166666666667,65.0,64.0,1.0
SS,64,64,1050,8.0,1.5998333333333334,0.07616666666666667,0.024095000000000002,105.64,123.99,171.18050000000002,80.63333333333334,1.3269666666666666,0.7535906666666666,65.0,64.0,1.0
SS,64,64,1100,8.0,1.6274333333333333,0.07329999999999999,0.024391333333333334,109.64666666666666,134.42333333333332,180.69486666666668,79.27,1.4006999999999998,0.7139206666666666,65.0,64.0,1.0
SS,64,64,1150,8.0,1.5789,0.06983333333333333,0.02373966666666667,117.06333333333333,147.53333333333333,187.23156666666668,81.70333333333333,1.4514000000000002,0.6889936666666667,65.0,64.0,1.0
SS,64,64,1200,8.0,1.6143999999999998,0.0674,0.024218666666666666,118.93333333333334,157.71666666666667,194.43963333333332,79.91,1.5073,0.66345,65.0,64.0,1.0
SS,64,64,1250,8.0,1.5907666666666664,0.0651,0.02395833333333333,125.48666666666666,170.97333333333333,202.18496666666667,81.09666666666668,1.5673000000000001,0.6380366666666667,65.0,64.0,1.0
SS,64,64,1300,8.0,1.5709333333333333,0.06236666666666666,0.023728666666666665,132.28666666666666,180.34666666666666,210.52873333333332,82.12,1.632,0.61275,65.0,64.0,1.0
