workload,input_tokens_target,output_tokens_target,frequency_mhz,slo_s,duration_s,ttft_s,tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,tpj,input_tokens_actual,output_tokens_actual,slo_met_rate
SL,64,512,1050,8.0,40.1817,0.9291333333333333,0.076665,113.12333333333333,193.1,4551.885566666667,815.4956662746067,0.13891252339680982,7.198794333333333,4160.0,32768.0,0.0
SL,64,512,1100,8.0,38.520266666666664,0.8923,0.07349233333333334,122.96333333333332,213.10666666666665,4743.0466,850.6691484812281,0.14474629516601556,6.908823000000001,4160.0,32768.0,0.0
SL,64,512,1150,8.0,36.5917,0.8488666666666665,0.06981033333333332,133.83333333333334,232.20333333333335,4905.4405,895.5036641860012,0.14970216369628905,6.679950666666667,4160.0,32768.0,0.0
SL,64,512,1200,8.0,35.28143333333333,0.8187000000000001,0.06731,142.49333333333334,249.36666666666667,5037.037166666666,928.7604820017744,0.15371817525227863,6.5054603333333345,4160.0,32768.0,0.0
SL,64,512,1250,8.0,34.0156,0.7969333333333334,0.06488033333333333,156.34666666666666,274.72333333333336,5328.709766666667,963.3227671516382,0.16261931660970053,6.149380666666667,4160.0,32768.0,0.0
SL,64,512,1300,8.0,32.55716666666667,0.7708666666666666,0.06208266666666667,183.25666666666666,293.9166666666667,5979.573433333334,1006.4757921170864,0.18248209940592444,5.4816633333333336,4160.0,32768.0,0.0
SS,64,64,750,8.0,6.547466666666668,1.3197666666666665,0.08168233333333334,94.37333333333333,130.62666666666667,622.1172333333333,625.5864379699888,0.15188409016927082,6.583972333333333,4160.0,4096.0,1.0
SS,64,64,800,8.0,6.076866666666667,1.2183333333333335,0.07591466666666667,100.36666666666667,138.85333333333332,613.2664333333333,674.0320043739457,0.14972325032552083,6.678994333333333,4160.0,4096.0,1.0
SS,64,64,850,8.0,5.7134,1.1449,0.07138266666666666,105.48,146.3033333333333,606.5646666666667,716.9115608538754,0.14808707682291666,6.752786666666666,4160.0,4096.0,1.0
SS,64,64,900,8.0,5.415866666666666,1.0832666666666666,0.06769666666666667,110.11,153.84666666666666,601.5846,756.2969199561559,0.146871240234375,6.808690666666667,4160.0,4096.0,1.0
SS,64,64,950,8.0,5.123833333333334,1.0245,0.06405166666666667,116.99333333333334,163.96,605.3212,799.4016962116344,0.14778349609375,6.766661333333334,4160.0,4096.0,1.0
SS,64,64,1000,8.0,4.8446,0.9710000000000001,0.060525666666666665,126.62333333333333,178.58333333333334,618.1212666666667,845.4779661816639,0.15090851236979166,6.626539,4160.0,4096.0,1.0
SS,64,64,1050,8.0,4.642633333333333,0.9318333333333334,0.05798133333333333,135.81,193.3066666666667,636.6583999999999,882.2583870146623,0.15543417968749998,6.433592999999999,4160.0,4096.0,1.0
SS,64,64,1100,8.0,4.448633333333333,0.8954,0.055519000000000006,149.88333333333333,212.69333333333336,671.7885333333334,920.7329716183007,0.16401087239583334,6.097175,4160.0,4096.0,1.0
SS,64,64,1150,8.0,4.230433333333333,0.8514333333333334,0.052797333333333335,161.9933333333333,231.45000000000002,691.8365666666667,968.2230844185098,0.16890541178385418,5.920492666666667,4160.0,4096.0,1.0
SS,64,64,1200,8.0,4.0788,0.8203999999999999,0.050912000000000006,172.6,246.96666666666667,710.8891333333332,1004.2197434561054,0.1735569173177083,5.761821,4160.0,4096.0,1.0
SS,64,64,1250,8.0,3.9372000000000003,0.7964333333333333,0.04907466666666666,189.63666666666666,274.3433333333333,755.1520666666667,1040.3338654030392,0.18436329752604166,5.424095,4160.0,4096.0,1.0
SS,64,64,1300,8.0,3.7831333333333332,0.7716666666666666,0.047054000000000006,220.0533333333333,293.43666666666667,840.4773666666666,1082.700569083945,0.20519466959635416,4.876889666666667,4160.0,4096.0,1.0
