workload,input_tokens_target,output_tokens_target,frequency_mhz,repeat_idx,duration_s,ttft_s,tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,tpj,input_tokens_actual,output_tokens_actual,total_tokens_actual,concurrency,backlog_requests,finished_requests,slo_s,slo_met
LL,1024,512,850,3,136.2673,18.5076,0.229999,80.74,158.23,11024.5934,240.46854968139823,0.33644389038085937,2.972264,65600,32768,98368,16,64,64,8.0,0
SS,64,64,900,1,5.4166,1.0813,0.06774,110.0,153.4,601.3003,756.1939223867371,0.1468018310546875,6.811904,4160,4096,8256,16,64,64,8.0,1
SS,64,64,900,2,5.4096,1.0785,0.067673,110.16,153.88,601.0978,757.1724341910677,0.146752392578125,6.814199,4160,4096,8256,16,64,64,8.0,1
SS,64,64,900,3,5.4214,1.09,0.067677,110.17,154.26,602.3557,755.5244032906629,0.1470594970703125,6.799969,4160,4096,8256,16,64,64,8.0,1
SL,64,512,900,1,46.9528,1.078,0.089599,92.24,153.4,4337.5074,697.892351467857,0.13237022094726564,7.554569,4160,32768,36928,16,64,64,8.0,0
SL,64,512,900,2,46.9492,1.078,0.089592,92.29,153.29,4341.7868,697.9458648922666,0.13250081787109375,7.547123,4160,32768,36928,16,64,64,8.0,0
SL,64,512,900,3,46.9557,1.084,0.089593,92.42,154.85,4346.3844,697.8492493989015,0.13264112548828125,7.53914,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,900,1,35.6236,17.6046,0.281546,101.95,166.34,3644.8053,114.9799571070863,0.8898450439453125,1.123791,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,900,2,35.6323,17.5976,0.281792,101.85,166.82,3642.3772,114.95188354386329,0.88925224609375,1.12454,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,900,3,35.5701,17.5565,0.281463,102.03,166.34,3640.3263,115.15289526877913,0.8887515380859375,1.125174,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,900,1,128.5641,17.5626,0.2168,85.69,169.72,11035.9239,254.87675019698347,0.3367896697998047,2.969212,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,900,2,128.4405,17.4599,0.216759,85.81,171.06,11042.6299,255.1220214807635,0.33699432067871093,2.967409,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,900,3,128.4039,17.4221,0.216761,85.75,170.69,11032.346,255.19474096970578,0.33668048095703124,2.970175,65600,32768,98368,16,64,64,8.0,0
SS,64,64,950,1,5.1223,1.0235,0.064044,116.94,164.03,604.5278,799.6407863654998,0.147589794921875,6.775536,4160,4096,8256,16,64,64,8.0,1
SS,64,64,950,2,5.1275,1.0272,0.064066,117.21,164.41,605.594,798.8298391028766,0.14785009765625,6.763607,4160,4096,8256,16,64,64,8.0,1
SS,64,64,950,3,5.1217,1.0228,0.064045,116.83,163.44,605.8418,799.7344631665268,0.147910595703125,6.760841,4160,4096,8256,16,64,64,8.0,1
SL,64,512,950,1,44.4052,1.0202,0.084736,97.81,163.82,4349.2097,737.9315935971463,0.13272734680175782,7.534242,4160,32768,36928,16,64,64,8.0,0
SL,64,512,950,2,44.3746,1.0198,0.084677,98.05,164.41,4358.4766,738.4404591816038,0.13301015014648437,7.518223,4160,32768,36928,16,64,64,8.0,0
SL,64,512,950,3,44.3851,1.0226,0.084692,98.21,164.41,4363.5213,738.2657693685493,0.13316410217285157,7.509531,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,950,1,33.7275,16.6531,0.266787,110.96,184.1,3757.7885,121.44392558001631,0.9174288330078125,1.090003,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,950,2,33.69,16.6475,0.266289,113.91,187.84,3849.0247,121.5791035915702,0.9397032958984375,1.064166,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,950,3,33.6933,16.6487,0.266322,115.29,190.38,3903.4554,121.56719585199431,0.952992041015625,1.049327,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,950,1,122.5633,16.6427,0.206876,95.06,191.21,11675.7817,267.35572557201056,0.3563165802001953,2.806493,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,950,2,122.5438,16.6457,0.206832,94.94,190.73,11655.5065,267.3982690270744,0.3556978302001953,2.811375,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,950,3,122.5417,16.6414,0.206836,95.01,190.73,11663.8737,267.40285143751066,0.3559531768798828,2.809358,65600,32768,98368,16,64,64,8.0,0
SS,64,64,1000,1,4.8499,0.9743,0.060556,126.49,178.3,617.9842,844.5534959483701,0.150875048828125,6.628001,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1000,2,4.8429,0.9713,0.060495,126.36,177.7,617.3867,845.7742261867888,0.1507291748046875,6.634416,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1000,3,4.841,0.9674,0.060526,127.02,179.75,618.9929,846.1061764098326,0.1511213134765625,6.6172,4160,4096,8256,16,64,64,8.0,1
SL,64,512,1000,1,41.9503,0.9693,0.080041,105.59,179.27,4434.1234,781.1147953649914,0.13531870727539064,7.389961,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1000,2,41.9363,0.9696,0.080013,105.79,180.24,4442.6532,781.3755624602074,0.13557901611328124,7.375773,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1000,3,41.9298,0.9691,0.080002,105.89,180.12,4445.336,781.4966920901126,0.135660888671875,7.371321,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,1000,1,31.9014,15.7307,0.252667,117.87,194.82,3785.3485,128.39561900104698,0.9241573486328125,1.082067,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1000,2,31.9025,15.7197,0.252856,118.12,194.46,3784.6934,128.39119191285948,0.923997412109375,1.082254,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1000,3,31.9062,15.7192,0.252922,117.86,193.98,3779.6816,128.37630303828098,0.922773828125,1.083689,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,1000,1,116.1275,15.7149,0.196118,96.95,197.84,11285.2272,282.17261199974166,0.344397802734375,2.903619,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1000,2,116.3791,15.728,0.196584,96.07,195.08,11215.5295,281.5625829723722,0.3422707977294922,2.921663,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1000,3,116.3224,15.7141,0.196501,96.07,194.95,11209.4929,281.6998273763265,0.3420865753173828,2.923237,65600,32768,98368,16,64,64,8.0,0
SS,64,64,1050,1,4.6474,0.934,0.058022,135.15,192.18,636.2425,881.3530145888024,0.1553326416015625,6.437797,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1050,2,4.6408,0.9304,0.057975,136.11,193.63,636.9038,882.6064471642821,0.155494091796875,6.431113,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1050,3,4.6397,0.9311,0.057947,136.17,194.11,636.8289,882.8156992909023,0.1554758056640625,6.431869,4160,4096,8256,16,64,64,8.0,1
SL,64,512,1050,1,40.1756,0.9293,0.076653,112.92,193.14,4542.1579,815.6194306992303,0.13861565856933594,7.214192,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1050,2,40.1964,0.9293,0.076693,113.11,192.53,4553.1454,815.1973808599776,0.13895097045898439,7.196783,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1050,3,40.1731,0.9288,0.076649,113.34,193.63,4560.3534,815.6701872646124,0.13917094116210937,7.185408,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,1050,1,30.542,15.0782,0.241621,128.41,211.82,3946.7013,134.11040534346145,0.9635501220703125,1.037829,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1050,2,30.5406,15.064,0.241822,127.1,209.55,3909.5908,134.11655304741885,0.95448994140625,1.04768,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1050,3,30.5302,15.0723,0.241528,131.01,218.58,4026.891,134.1622393564405,0.983127685546875,1.017162,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,1050,1,111.3686,15.0447,0.188133,106.64,217.8,11918.8087,294.23015104796144,0.3637331756591797,2.749268,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1050,2,111.4424,15.0725,0.188222,103.71,211.82,11589.2502,294.03530433659,0.3536758483886719,2.827448,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1050,3,111.3309,15.0548,0.188039,105.38,213.13,11776.5422,294.3297862498192,0.35939154663085937,2.782481,65600,32768,98368,16,64,64,8.0,0
SS,64,64,1100,1,4.4543,0.8965,0.05559,149.39,211.68,670.1676,919.5608737624318,0.16361513671875,6.111904,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1100,2,4.4465,0.8976,0.055451,150.16,213.13,672.3651,921.1739570448667,0.1641516357421875,6.091928,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1100,3,4.4451,0.8921,0.055516,150.1,213.27,672.8329,921.464084047603,0.1642658447265625,6.087693,4160,4096,8256,16,64,64,8.0,1
SL,64,512,1100,1,38.5059,0.8977,0.073454,123.9,215.2,4777.614,850.9864722029612,0.14580120849609374,6.858654,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1100,2,38.5308,0.8892,0.073519,122.52,214.09,4727.2076,850.4365338897713,0.14426292724609374,6.931788,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1100,3,38.5241,0.89,0.073504,122.47,210.03,4724.3182,850.5844393509518,0.14417474975585937,6.936027,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,1100,1,29.3156,14.4766,0.23186,145.51,242.85,4300.5333,139.72083122978893,1.0499348876953125,0.95244,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1100,2,29.3753,14.4877,0.23262,145.4,243.65,4305.9031,139.43687383618212,1.0512458740234376,0.951252,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1100,3,29.3637,14.4874,0.232443,145.75,244.29,4312.7969,139.4919577573671,1.0529289306640626,0.949732,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,1100,1,107.2014,14.4996,0.181058,117.69,244.77,12666.9073,305.6676498627816,0.38656333312988284,2.586898,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1100,2,107.1768,14.4909,0.181027,117.55,243.81,12644.9842,305.737808928798,0.38589429321289065,2.591383,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1100,3,107.2094,14.4602,0.181151,117.42,243.17,12643.8458,305.6448408441797,0.3858595520019531,2.591617,65600,32768,98368,16,64,64,8.0,0
SS,64,64,1150,1,4.2357,0.8542,0.052837,161.89,231.44,692.7928,967.018438510754,0.1691388671875,5.912302,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1150,2,4.2283,0.8491,0.0528,161.95,231.14,690.0765,968.7108294113474,0.1684757080078125,5.935574,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1150,3,4.2273,0.851,0.052755,162.14,231.77,692.6404,968.939985333428,0.16910166015625,5.913602,4160,4096,8256,16,64,64,8.0,1
SL,64,512,1150,1,36.6004,0.8516,0.069822,133.56,232.58,4893.257,895.2907618495973,0.1493303527832031,6.696562,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1150,2,36.5929,0.8498,0.069811,133.94,233.22,4911.0756,895.474258667665,0.14987413330078125,6.672265,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1150,3,36.5818,0.8452,0.069798,134.0,230.81,4911.9889,895.7459720407415,0.14990200500488282,6.671025,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,1150,1,27.9233,13.7805,0.220981,157.87,266.09,4450.6029,146.68753335028453,1.0865729736328125,0.920325,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1150,2,27.9115,13.7616,0.221092,159.27,268.68,4487.1104,146.74954767748062,1.0954859375,0.912837,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1150,3,27.9317,13.7924,0.220926,158.16,267.53,4456.3475,146.6434194839555,1.0879754638671875,0.919138,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,1150,1,102.063,13.7624,0.172462,126.95,263.99,13027.2229,321.05660229466116,0.3975592926025391,2.515348,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1150,2,102.1173,13.7781,0.172538,127.98,266.88,13132.5773,320.88588319510995,0.4007744537353516,2.495169,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1150,3,102.0942,13.7749,0.172499,127.59,267.53,13092.2014,320.95848735775394,0.3995422790527344,2.502864,65600,32768,98368,16,64,64,8.0,0
SS,64,64,1200,1,4.0865,0.8247,0.050965,172.04,247.02,708.9816,1002.3247277621437,0.1730912109375,5.777301,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1200,2,4.0699,0.8148,0.05086,172.88,246.22,711.3844,1006.412933978722,0.17367783203125,5.757787,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1200,3,4.08,0.8217,0.050911,172.88,247.66,712.3014,1003.9215686274509,0.173901708984375,5.750375,4160,4096,8256,16,64,64,8.0,1
SL,64,512,1200,1,35.275,0.8149,0.067305,142.1,248.14,5019.6732,928.9298369950391,0.15318826904296876,6.527915,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1200,2,35.2899,0.8198,0.067324,142.48,249.74,5038.1168,928.5376269130827,0.153751123046875,6.504018,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1200,3,35.2794,0.8214,0.067301,142.9,250.22,5053.3215,928.8139820972011,0.1542151336669922,6.484448,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,1200,1,26.9851,13.2951,0.213906,163.18,286.1,4451.5263,151.78746789895166,1.0867984130859376,0.920134,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1200,2,26.9805,13.2895,0.213922,164.62,284.95,4479.9887,151.81334667630327,1.0937472412109375,0.914288,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1200,3,26.9586,13.293,0.213526,167.38,278.89,4563.7269,151.93667326938342,1.1141911376953124,0.897512,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,1200,1,98.7527,13.3041,0.166892,130.24,283.22,12922.2853,331.81877558790796,0.39435685119628905,2.535774,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1200,2,98.6128,13.2903,0.166645,137.46,287.54,13627.5601,332.2895202245551,0.41588013000488283,2.404539,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1200,3,98.5994,13.2926,0.166615,137.49,287.54,13621.3059,332.3346795213764,0.4156892669677734,2.405643,65600,32768,98368,16,64,64,8.0,0
SS,64,64,1250,1,3.9415,0.797,0.049134,189.31,273.42,753.6783,1039.1982747684892,0.1840034912109375,5.434679,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1250,2,3.9356,0.7947,0.049076,189.71,275.53,754.5399,1040.7561744079683,0.1842138427734375,5.428474,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1250,3,3.9345,0.7976,0.049014,189.89,274.08,757.238,1041.0471470326597,0.18487255859375,5.409132,4160,4096,8256,16,64,64,8.0,1
SL,64,512,1250,1,34.0147,0.7981,0.064876,155.79,273.12,5309.0959,963.3481994549416,0.1620207489013672,6.172049,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1250,2,34.0261,0.7985,0.064898,156.28,273.6,5331.0463,963.0254422340497,0.1626906219482422,6.146636,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1250,3,34.006,0.7942,0.064867,156.97,277.45,5345.9871,963.5946597659237,0.1631465789794922,6.129457,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,1250,1,26.0766,12.8552,0.206584,182.94,300.4,4814.0907,157.07569238320949,1.1753151123046874,0.850836,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1250,2,26.0644,12.8543,0.206408,187.03,301.08,4926.7548,157.14921502125506,1.20282099609375,0.831379,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1250,3,26.0651,12.8548,0.206411,188.34,304.64,4963.9381,157.1449946480159,1.2118989501953126,0.825151,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,1250,1,95.4564,12.8553,0.16133,142.39,302.52,13667.1311,343.27714013937253,0.4170877410888672,2.397577,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1250,2,95.3803,12.8443,0.161203,145.58,302.52,13962.0685,343.5510267843569,0.42608851623535154,2.34693,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1250,3,95.4664,12.8539,0.161353,141.47,300.88,13577.0277,343.24118223793926,0.4143380035400391,2.413488,65600,32768,98368,16,64,64,8.0,0
SS,64,64,1300,1,3.7852,0.7729,0.047066,224.38,294.75,856.7491,1082.109267674099,0.2091672607421875,4.780863,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1300,2,3.7822,0.771,0.04705,224.33,294.08,855.6019,1082.967585003437,0.2088871826171875,4.787273,4160,4096,8256,16,64,64,8.0,1
SS,64,64,1300,3,3.782,0.7711,0.047046,211.45,291.48,809.0811,1083.0248545742993,0.1975295654296875,5.062533,4160,4096,8256,16,64,64,8.0,1
SL,64,512,1300,1,32.5585,0.7718,0.062083,181.62,292.35,5927.93,1006.4345716172428,0.18090606689453126,5.527731,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1300,2,32.5585,0.7695,0.062088,187.67,293.12,6126.033,1006.4345716172428,0.18695169067382814,5.348975,4160,32768,36928,16,64,64,8.0,0
SL,64,512,1300,3,32.5545,0.7713,0.062077,180.48,296.28,5884.7573,1006.5582331167735,0.17958854064941407,5.568284,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,1300,1,25.1439,12.4493,0.198353,197.78,306.36,5015.0576,162.90233416454888,1.224379296875,0.81674,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1300,2,25.1577,12.4409,0.1987,196.85,306.16,5003.6525,162.81297574897548,1.2215948486328125,0.818602,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,1300,3,25.1467,12.4389,0.19856,198.01,306.56,5035.5401,162.88419554056796,1.2293799072265625,0.813418,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,1300,1,92.0122,12.4483,0.155398,153.2,305.88,14161.1337,356.12668754795556,0.4321635040283203,2.313939,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1300,2,91.721,12.4313,0.154863,158.96,307.32,14646.0938,357.2573347434066,0.44696331176757814,2.23732,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,1300,3,91.7708,12.3799,0.15506,155.66,306.08,14354.3024,357.0634668107939,0.438058544921875,2.2828,65600,32768,98368,16,64,64,8.0,0
